
2025/03/25 (21:41:01) | ===> btop++ v.1.4.0
2025/03/25 (21:41:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (21:41:49) | ===> btop++ v.1.4.0
2025/03/25 (21:41:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (12:28:08) | ===> btop++ v.1.4.0
2025/03/26 (12:28:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/26 (12:30:01) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (12:32:10) | ===> btop++ v.1.4.0
2025/03/26 (12:32:10) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/26 (12:32:52) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (12:33:17) | ===> btop++ v.1.4.0
2025/03/26 (12:33:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/26 (12:33:45) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (12:40:31) | ===> btop++ v.1.4.0
2025/03/26 (12:40:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (12:46:56) | ===> btop++ v.1.4.0
2025/03/26 (12:46:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/26 (12:47:19) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (12:50:31) | ===> btop++ v.1.4.0
2025/03/26 (12:50:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (15:27:03) | ===> btop++ v.1.4.0
2025/03/26 (15:27:03) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/26 (15:28:34) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (15:29:57) | ===> btop++ v.1.4.0
2025/03/26 (15:29:57) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/26 (15:30:29) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (15:55:36) | ===> btop++ v.1.4.0
2025/03/26 (15:55:36) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/26 (15:56:00) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (16:43:38) | ===> btop++ v.1.4.0
2025/03/26 (16:43:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (16:45:21) | ===> btop++ v.1.4.0
2025/03/26 (16:45:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (16:45:41) | ===> btop++ v.1.4.0
2025/03/26 (16:45:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (16:49:36) | ===> btop++ v.1.4.0
2025/03/26 (16:49:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (17:24:46) | ===> btop++ v.1.4.0
2025/03/26 (17:24:46) | WARNING: Intel GPU: Failed to initialize PMU

